wayland 1.20.0-2
wd719x-firmware 1-7
webrtc-audio-processing 0.3.1-3
wget 1.21.3-1
which 2.21-5
wildmidi 0.4.4-1
wireless-regdb 2022.04.08-1
wireless_tools 30.pre9-3
wpa_supplicant 2:2.10-4
wvdial 1.61-8
wvstreams 4.6.1-18
x264 3:0.164.r3081.19856cc-2
x265 3.5-3
xcb-proto 1.14.1-5
xcb-util 0.4.0-3
xcb-util-cursor 0.1.3-3
xcb-util-image 0.4.0-3
xcb-util-keysyms 0.4.0-3
xcb-util-renderutil 0.3.9-3
xcb-util-wm 0.4.1-3
xcb-util-xrm 1.3-2
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20211022.1-1
xf86-input-elographics 1.4.2-3
xf86-input-evdev 2.10.6-3
xf86-input-libinput 1.2.1-1
xf86-input-vmmouse 13.1.0-6
xf86-input-void 1.4.1-6
xf86-video-amdgpu 22.0.0-1
xf86-video-ati 1:19.1.0.r9.g5eba006e-2
xf86-video-fbdev 0.5.0-3
xf86-video-openchrome 0.6.0.r754.g15c868a-1
xf86-video-vesa 2.5.0-2
xfce4-notifyd 0.6.3-1
xfce4-power-manager 4.16.0-3
xfconf 4.16.0-2
xfsprogs 5.15.0-2
xkeyboard-config 2.35.1-1
xl2tpd 1.3.17-1
xorg-bdftopcf 1.1-2
xorg-fonts-encodings 1.0.5-2
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.3-6
xorg-server-common 21.1.3-6
xorg-sessreg 1.1.2-2
xorg-setxkbmap 1.3.3-1
xorg-smproxy 1.0.6-3
xorg-x11perf 1.6.1-2
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.3-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xmodmap 1.0.10-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xorgproto 2022.1-1
xplc 0.3.13-10
xsel 1.2.0.20200527-1
xss-lock 0.3.0.g1e158fb20108-4
xvidcore 1.3.7-2
xxhash 0.8.1-2
xz 5.2.5-3
youtube-dl 2021.12.17-1
zathura 0.4.9-1
zbar 0.23.1-9
zeromq 4.3.4-2
zimg 3.0.3-2
zlib 1:1.2.12-2
zscroll-git 2.0.1.r0.g788be96-1
zsh 5.8.1-2
zsh-completions-git 0.33.0.r65.gca484ea-1
zstd 1.5.2-3
zvbi 0.2.35-4
zxing-cpp 1.3.0-1
a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 22.08.8-2
acl 2.3.1-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-icon-theme 42.0+r1+gc144c3d75-1
aic94xx-firmware 30-9
alacritty 0.10.1-1
alsa-card-profiles 1:0.3.51-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.6.1-1
alsa-plugins 1:1.2.6-3
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.6.3-1
alsa-utils 1.2.6-1
aom 3.3.0-1
appstream 0.15.3-1
arandr 0.1.10-7
arc-solid-gtk-theme 20220405-1
arch-install-scripts 24-2
archlinux-keyring 20220424-1
archlinux-logout-git 22.05-27
arcolinux-alacritty-git 22.02-02
arcolinux-grub-theme-vimix-git 20211231-6
arcolinux-keyring 20230919-6
arcolinux-mirrorlist-git 22.04-01
arcolinux-paru-git 21.07-01
arcolinux-systemd-services-git 21.08-05
arcolinux-wallpapers-candy-git 21.11-01
arcolinux-wallpapers-git 22.03-01
arcolinuxd-system-config-git 22.05-05
arcolinuxd-welcome-app-git 22.05-06
argon2 20190702-4
asciinema 2.1.0-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.44.1-1
atk 2.38.0-1
atkmm 2.28.2-2
attr 2.5.1-2
audit 3.0.8-1
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-3
base 2-2
bash 5.1.016-1
bash-completion 2.11-2
bat 0.20.0-2
bc 1.07.1-4
betterlockscreen-git v4.0.4.r0.ge6c5530-1
bind 9.18.2-1
binutils 2.38-5
bison 3.8.2-4
bluez-libs 5.64-2
boost-libs 1.78.0-2
brave-bin 1:1.38.111-1
broadcom-wl-dkms 6.30.223.271-29
brotli 1.0.9-8
bspwm 0.9.10-2
btrfs-progs 5.17-1
bubblewrap 0.6.2-1
bzip2 1.0.8-4
ca-certificates 20210603-1
ca-certificates-mozilla 3.78-1
ca-certificates-utils 20210603-1
cairo 1.17.6-2
cairomm 1.14.3-2
cantarell-fonts 1:0.303.1-1
catfish 4.16.3-2
cava 0.8.2-1
cdparanoia 10.2-8
chaotic-keyring 20220220-1
chromaprint 1.5.1-3
cifs-utils 6.15-1
clipmenu 6.2.0-2
